TRANSTEXT 7.1.997.12
PRIMARY_LANGID 0
English Text	Translated Text	Item Type
"Open Tasklist|The file '%s' has a more recent file format than your \ncurrent version of ToDoList and you will therefore not be able to make any \nchanges to it."	""	"text"
"Open Tasklist|The file '%s' is currently read-only \nand you will not be able to make any changes to it."	""	"text"
"Open Url"	""	"menu"
"Optional"	""	"text"
"or"	""	"combobox"
"Other HTML exporter"	""	"radiobutton"
"Outlook field..."	""	"text"
"Outlook must be installed before 'outlook:' links will work."	""	"text"
"Output"	""	"groupbox"
"Owner"	""	"text"
"Parent"	""	"checklistbox"
"Password Required"	""	"text"
"Paste (More)"	""	"menu"
"Paste (Normal)"	""	"menu"
"Paste as Reference"	""	"menu"
"Paste as Subtask"	""	"menu"
"Paste Below"	""	"menu"
"Paste Below Selected Task"	""	"menu"
"Paste Formatting"	""	"menu"
"Paste Simple (No formatting)"	""	"menu"
"Paste Tasks from Clipboard"	""	"dialog"
"Percent Done"	""	"text"
"Percentage Load"	""	"text"
"Period"	""	"text"
"Period defining 'Recently Modified' tasks"	""	"label"
"Permission"	""	"text"
"Pick a dependency 'arrow' to delete..."	""	"text"
"Pick a dependency 'arrow' to edit..."	""	"text"
"Pick the 'bar' of the new task on which the just picked task will be dependent..."	""	"text"
"Pick the 'bar' of the task on which the just picked task will be dependent..."	""	"text"
"Pick the 'bar' of the task you want to be dependent on another task..."	""	"text"
"pixels"	""	"label"
  "pixels"	""	"combobox"
"Placeholders"	""	"text"
"Plain Text (.txt)|Text Files (*.txt)|*.txt||"	""	"text"
"Play"	""	"text"
"Please wait"	""	"text"
"Plugins Out of Date"	""	"text"
"Populate Columns"	""	"tooltip"
"Port"	""	"label"
"Preference Files (*.ini)"	""	"combobox"
"Preferences location"	""	"static"
"Preparing due task notifications..."	""	"text"
"Preparing print preview..."	""	"text"
"Preserve comments"	""	"button"
"Preview"	""	"label"
"Printing tasklists..."	""	"text"
"Priority Frequency"	""	"combobox"
"Progress"	""	"label"
"Quarter Centuries \t(eg. 2000-2024)"	""	"text"
"Quarters, mid \t\t(eg. Jan-Mar 2013)"	""	"combobox"
"Quarters, narrow \t(eg. Q1 2013)"	""	"combobox"
"Quarters, wide \t\t(eg. January-March 2013)"	""	"combobox"
"Read-only"	""	"text"
"Read-only Status Change"	""	"text"
"Read-only: Checked in"	""	"text"
"Read-only: Newer format"	""	"text"
"Read-only: Under source control"	""	"text"
"Recalculate allocations when the 'Time Estimate' or 'Duration' changes"	""	"checkbox"
"Received By"	""	"text"
"Received Time"	""	"text"
"Recent Tasklist %d"	""	"menu"
"Recently modified"	""	"text"
"Reference task colour"	""	"checkbox"
"Regional Settings Change|The user interface will be updated next time you restart ToDoList.\n\nWould you like to restart ToDoList now?"	""	"text"
"Regular"	""	"combobox"
"Release Candidate"	""	"text"
"Reload Icons"	""	"button"
"Remind me again at"	""	"radiobutton"
"Remind me again in"	""	"radiobutton"
"Reminder Time"	""	"text"
"Remote file name"	""	"label"
"Remote Server Details"	""	"dialog"
"Remove"	""	"label"
"Remove items from Outlook after importing"	""	"checkbox"
"Remove the following tasklist information from your ini file?"	""	"text"
"Removing backup files..."	""	"text"
"Replace All"	""	"button"
"Replace in Comments"	""	"dialog"
"Replace in Task Titles"	""	"text"
"Replace with"	""	"label"
"Reply Recipient Names"	""	"text"
"Report Attributes"	""	"label"
"Report Builder"	""	"dialog"
"Report Builder (.html)"	""	"combobox"
"Report Date"	""	"menu"
"Report Files (*.html)|*.html||"	""	"combobox"
"Report Footer"	""	"label"
"Report Header"	""	"label"
"Report Templates"	""	"combobox"
"Report Title"	""	"label"
"Reserved Keyboard Shortcut"	""	"text"
"Reset Elapsed Time"	""	"tooltip"
"Resize Attribute Columns to Fit"	""	"menu"
"Restore Default Font Size"	""	"menu"
"Restoring tasklists..."	""	"text"
"Retry"	""	"button"
"Rich Text Preferences"	""	"dialog"
"Right Align"	""	"tooltip"
"Risk Frequency"	""	"combobox"
"Root"	""	"text"
"Round 'Time Periods' to whole numbers"	""	"checkbox"
"Row Properties"	""	"menu"
"Row span"	""	"label"
"Run Tool Error"	""	"text"
"s"	""	"menu"
"Sample AaZa"	""	"label"
"Save"	""	"button"
"Save As (%s)"	""	"text"
"Save Report Template"	""	"tooltip"
"Save Report Template As"	""	"tooltip"
"Save Task View to Image"	""	"text"
"Save Task View to Image..."	""	"menu"
"Save Transformation As"	""	"text"
"Saving task view image..."	""	"text"
"Saving tasklists..."	""	"text"
"Schedule and Priority"	""	"text"
"Scheme"	""	"radiobutton"
"Screenshot of active task view"	""	"radiobutton"
"Scroll To Today"	""	"tooltip"
"Search Preferences"	""	"text"
"second"	""	"combobox"
"Select a value"	""	"text"
"Select File to Download (%s)"	""	"text"
"Select File to which Task Refers"	""	"text"
"Select Image File"	""	"dialog"
"Select items to import"	""	"label"
"Select Reference Target Task"	""	"menu"
"Select Task Dependencies"	""	"menu"
"Select Task Dependents"	""	"menu"
"Select Task References"	""	"menu"
"Select Tasklist"	""	"text"
"Selected Task Custom Attribute"	""	"menu"
"Selected Task Date Range"	""	"label"
"Selected Task Path"	""	"menu"
"Sender"	""	"text"
"Sender Email"	""	"text"
"Sensitivity"	""	"text"
"Sent Date"	""	"text"
"Sent On Behalf Of"	""	"text"
"Server Busy"	""	"dialog"
"Set Background Colour"	""	"tooltip"
"Set Background Image"	""	"tooltip"
"Set period to 'this' month"	""	"text"
"Set Task Dependency"	""	"menu"
"Show '% Complete' as progress on task's gantt bar"	""	"checkbox"
"Show 'Reminders' as dates and times"	""	"checkbox"
"Show a task's colour as a vertical bar"	""	"checkbox"
"Show attribute columns to the right of the task tree"	""	"checkbox"
"Show checkbox beside task title when completion column is hidden"	""	"checkbox"
"Show close button on each tasklist tab"	""	"checkbox"
"Show comments as simple text"	""	"checkbox"
"Show empty columns"	""	"combobox"
"Show fields whose corresponding column is visible"	""	"radiobutton"
"Show Formatting Toolbar"	""	"menu"
"Show full task path in Sticky"	""	"checkbox"
"Show on separate page"	""	"checkbox"
"Show parent tasks"	""	"checkbox"
"Show Reminder Notification Window"	""	"menu"
"Show Ruler"	""	"menu"
"Show Tasklist in Explorer"	""	"menu"
"Show the Time-Tracker window whenever a task's time is tracked"	""	"checkbox"
"Show Time"	""	"text"
"Show Time Tracker"	""	"menu"
"Show vertical mini calendar-bar"	""	"checkbox"
"Simple Source Control"	""	"label"
"Simple web page"	""	"radiobutton"
"Small Icons"	""	"menu"
"Smallest editable interval"	""	"label"
"Snap Mode"	""	"label"
"Snooze"	""	"button"
"Snooze All"	""	"button"
"Some tasks could not be imported from '%s'."	""	"text"
"Some tasks could not be imported from the clipboard text."	""	"text"
"Sort subtasks below their respective parent task"	""	"checkbox"
"Source Control Changes"	""	"text"
"spaces"	""	"label"
"Spell Check Comments"	""	"menu"
"Spell Checker"	""	"text"
"SpellChecker Engines|*.dll||"	""	"text"
"Spiral"	""	"text"
"Split Tasks into"	""	"menu"
"Split Tasks into Two (2) Subtasks"	""	"menu"
"Spreadsheet (.csv)|Spreadsheets (*.csv)|*.csv||"	""	"text"
"Spreadsheet Files (*.csv)"	""	"combobox"
"Stable Release"	""	"text"
"Stack tab bar items"	""	"checkbox"
"Start date"	""	"label"
"Start Tracking"	""	"text"
"Started/Completed Tasks"	""	"combobox"
"starts"	""	"combobox"
"Static"	""	"label"
"Status Bar"	""	"menu"
"Status Change"	""	"text"
"Status Frequency"	""	"combobox"
"Steps"	""	"groupbox"
"Styles"	""	"menu"
"Stylesheet not found"	""	"label"
"Subject"	""	"text"
"Subscript"	""	"menu"
"Subtask of selected task"	""	"combobox"
"Subtasks"	""	"text"
"Subtasks are indented at each level with"	""	"label"
"Superscript"	""	"menu"
"Switch To..."	""	"button"
"Symbols..."	""	"tooltip"
"Synchronise a task's 'Completion' to changes in its 'Status'"	""	"checkbox"
"System File Required|ToDoList requires the 'Microsoft Visual C++ 2010 SP1 Redistributable Package (32-bit)' to be installed.\n\nClick 'OK' to visit the appropriate download page or 'Cancel' to quit."	""	"text"
"tab"	""	"combobox"
"tab-stops"	""	"label"
"Table"	""	"menu"
"Table Properties"	""	"menu"
"Table width"	""	"label"
"Table..."	""	"menu"
"Tag Frequency"	""	"combobox"
"Target"	""	"label"
"Task Attribute Visibility..."	""	"menu"
"Task Attributes"	""	"label"
"Task date not set"	""	"tooltip"
"Task Depth"	""	"button"
"Task Dialog"	""	"menu"
"Task Formatting"	""	"label"
"Task Matches"	""	"text"
"Task Not Found"	""	"text"
"Task Occurs"	""	"groupbox"
"Task Reminders"	""	"dialog"
"Task Reminders (%d)"	""	"dialog"
"Task Selection"	""	"label"
"Task title"	""	"label"
"Task View %d"	""	"menu"
"Task View Font"	""	"menu"
"Task View Tab Bar"	""	"menu"
"Task View Visibility"	""	"menu"
"Task Visibility"	""	"groupbox"
"Tasklist (*.tdl, *.xml)|*.tdl;*.xml|Unicode Tasklist (*.tdl, *.xml)|*.tdl;*.xml||"	""	"text"
"Tasklist (*.tdl, *.xml)|*.tdl;*.xml||"	""	"text"
"Tasklist could not be printed"	""	"text"
"Tasklist Tab Colour"	""	"menu"
"Tasklists (*.tdl)"	""	"combobox"
"Tasks Not Started"	""	"text"
"Tasks>Defaults"	""	"text"
"Tasks>Defaults>Dynamic Droplists"	""	"text"
"Tasks>Defaults>Inheritable Attributes"	""	"text"
"Tasks>Defaults>Task Attributes"	""	"text"
"Text Colour"	""	"tooltip"
"Text Files (*.txt)"	""	"combobox"
"Text prompt"	""	"text"
"the active tasklist"	""	"combobox"
"The application was successfully upgraded to the latest version."	""	"text"
"The clipboard text contained no tasks which could be imported."	""	"text"
"The clipboard text does not have a recognised format."	""	"text"
"the Close button is selected"	""	"combobox"
"the computer is hibernated or in stand-by"	""	"checkbox"
"The confirmation did not match the password.\n\nPlease try again."	""	"text"
"The earlier of the task's 'Due' date and 'Today'"	""	"radiobutton"
"The exported content could not be saved to '%s'"	""	"text"
"The file '%s' could not be imported into the registry.\n\nPlease check that it is a valid preference file and try again."	""	"text"
"The file '%s' does not have a recognised format."	""	"text"
"The file '%s' has been modified outside of ToDoList."	""	"text"
"The file '%s' is read-only.\n\nPlease select another filename"	""	"text"
"The following files will be be overwritten by the export"	""	"text"
"The following task has been tracked for %d minutes:\n\n%s: %s"	""	"text"
"The following tasklists have been checked in:\n\n%s"	""	"text"
"The following tasklists have been checked out:\n\n%s"	""	"text"
"The following tasklists have been reloaded:\n\n%s"	""	"text"
"The keyboard shortcut you have just used is now reserved for use by ToDoList.\n\nWould you like to change it to something else?"	""	"text"
"The later of the task's 'Start' date and 'Today'"	""	"radiobutton"
"The log file could not be updated.\n\nPlease ensure that the file is not already open for editing and \nthat you have the correct permissions and then try again."	""	"text"
"the Minimise button is selected"	""	"combobox"
"the Minimise or Close button is selected"	""	"combobox"
"The output path '%s' could not be created.\n\nPlease specify an alternative location."	""	"text"
"The selected folder contains no items"	""	"text"
"The selected preference file contains no tools.\n\nWould you like to try an alternative preference file?"	""	"text"
"The selected task contains one or more uncompleted subtasks.\n\nWould you also like to set those subtasks to be completed?"	""	"text"
"The selected task has circular dependencies that must be resolved before it can be completed."	""	"text"
"The selected task is dependent on another task that must be completed first.\n\nWould you like to view the dependency?"	""	"text"
"The selected task's comments had no spelling errors"	""	"text"
"The selected task's title had no spelling errors"	""	"text"
"The selected tasklist did not contain any custom attributes."	""	"text"
"The selected tasks have no dependents."	""	"text"
"The selected tasks have no references."	""	"text"
"The selected tasks include no task references."	""	"text"
"The status of the file '%s' has changed \nfrom 'read-only' to 'writable'."	""	"text"
"The status of the file '%s' has changed \nfrom 'writable' to 'read-only'."	""	"text"
"the task is not selected"	""	"checkbox"
"The task's 'Creation' date"	""	"radiobutton"
"The task's 'Due' date"	""	"radiobutton"
"The task's 'Start' date"	""	"radiobutton"
"The tasklist '%s' contained specific characters that could not be saved. Typically these will be found in a task's comments having been copied and pasted from another application.\n\nYou will need to remove these characters before you can save your tasklist."	""	"text"
"The tasklist '%s' could not be decrypted using the provided password.\n\nWould you like to try again?"	""	"text"
"The tasklist '%s' could not be found. \n\nPlease check that the full path has been provided and is correct."	""	"text"
"The tasklist '%s' has been encrypted.\n\nPlease enter the required password below."	""	"text"
"The tasklist '%s' has been modified \nsince you opened it or last saved your changes.\n\nIf you continue you will overwrite those changes.\n\nAre you sure you want to proceed?"	""	"text"
"the tasklist containing the task is not active"	""	"checkbox"
"The tasklist you are adding to is an archive. Are you sure this is your intention?"	""	"text"
"The tasklist you are deleting from is an archive. Are you sure this is your intention?"	""	"text"
"The tasks %s have circular dependencies that must be resolved before they can be completed."	""	"text"
"The text '%s' was not found in any task or comment."	""	"text"
"The tool '%s' could not be found.\n\nPlease check that it has not been moved or deleted and try again."	""	"text"
"The tool '%s' could not be run.\n\nPlease check you have the required access rights and try again."	""	"text"
"The uninstaller could not be run at this time.\n\nIf this was due to Windows SmartScreen, you may need to temporarily disable SmartScreen before trying again."	""	"text"
"The uninstaller could not be run at this time.\n\nPlease try again after your next reboot."	""	"text"
"The updater could not be run at this time.\n\nIf this was due to Windows SmartScreen, you may need to temporarily disable SmartScreen before trying again."	""	"text"
"The updater could not be run at this time.\n\nPlease try again after your next reboot."	""	"text"
"The updater is missing from the installation folder.\n\nWould you like to try downloading the update file manually?"	""	"text"
"The updater was unable to detect an active Internet connection."	""	"text"
"The user cancelled"	""	"text"
"The version of ToDoList specified in the tool (%d.%d) must be the same as the version of the running application (%d.%d)."	""	"text"
"There are no updates available at this time."	""	"text"
"There is an earlier version of ToDoList already running.\n\nTo run the more recent version, you will need to close the earlier version first and then retry."	""	"text"
"There is currently no tasklist information which can be removed from your ini file."	""	"text"
"There was a problem accessing the dragged or copied files.\n\nPlease re-copy the files and perform the operation again."	""	"text"
"There was a problem updating ToDoList at this time.\nOften this can be a problem with file and folder permissions.\n\nWould you like to view the update log file for possible clues?"	""	"text"
"third"	""	"combobox"
"This brief wizard will help you set up the application for the first time."	""	"text"
"This Month"	""	"radiobutton"
"This shortcut is reserved. Please choose an alternative."	""	"text"
"This task does not repeat."	""	"label"
"This Week"	""	"radiobutton"
"This Year"	""	"radiobutton"
"Thumbnails"	""	"menu"
"Tick the boxes of the tasklists you want to delete from your ini file"	""	"static"
"Time (%s)"	""	"label"
"Time estimate"	""	"label"
"Time of creation"	""	"checkbox"
"Time Period"	""	"groupbox"
"Time Series"	""	"combobox"
"Time spent"	""	"label"
"Time Spent (Hrs)"	""	"text"
"Time Tracking Reminder"	""	"text"
"Timestamp Change"	""	"text"
"to"	""	"label"
"ToDoList cannot start because your preferences file is locked by another application."	""	"text"
"ToDoList has detected that some tasks have just become due.\n\nWould you like to refresh the current filter to make those tasks visible?"	""	"text"
"ToDoList has detected that some tasks have just recently started.\n\nWould you like to refresh the current filter to make those tasks visible?"	""	"text"
"ToDoList has detected that the handler for the 'outlook:' protocol \nhas not been installed.\n\nUntil the handler is installed, 'outlook:' links will not work correctly.\n\nDo you want to install the handler now?"	""	"text"
"ToDoList is closing tasklists and saving its settings."	""	"text"
"ToDoList is saving its settings."	""	"text"
"ToDoList Reminder"	""	"text"
"ToDoList requires version 3 or later of the msxml component.\n\nTo update your version of this component, Google for 'msxml 3.0 download', \nand follow the relevant installation instructions. Then try again."	""	"text"
"ToDoList was unable to install the '.tdl' extension handler.\n\nYou may need to run ToDoList with administrator privileges to install the handler.\n\nOnce installed you can then revert to your original security settings."	""	"text"
"ToDoList was unable to install the 'tdl://' protocol handler.\n\nYou may need to run ToDoList with administrator privileges to install the handler.\n\nOnce installed you can then revert to your original security settings."	""	"text"
"ToDoList was unable to print the active tasklist via your default  browser, which may mean that your browser does not support the 'print' command.\n\nPlease see your browser help for more information."	""	"text"
"ToDoList Web Update"	""	"dialog"
  "ToDoList Web Update"	""	"systabcontrol32"
"Toggle All Tasks Expanded State"	""	"menu"
"Tool '%s' will be run using the following commandline arguments:\n\n%s\n\nDo you want to continue?"	""	"text"
"Tool Version Error"	""	"text"
"Top of tasklist"	""	"combobox"
"Total"	""	"text"
"Total Allocated Days"	""	"text"
"Total Work"	""	"text"
"Tracked"	""	"text"
"Transform Tasklist..."	""	"menu"
"Transforming tasklist..."	""	"text"
"Treat overdue tasks as being due 'Today'"	""	"checkbox"
"Treat subtasks of 'Locked' tasks as also being locked"	""	"checkbox"
"Treat tasks with the following tag as 'Milestones'"	""	"checkbox"
"Treat tasks without a due date as being due 'Today' or on the 'Start' date whichever is later"	""	"checkbox"
"Trend"	""	"label"
"Trial License"	""	"text"
"Two or more attributes shared the unique ID '%s'.\n\nYou will need to resolve this before closing the dialog."	""	"text"
"Type"	""	"text"
"Type a value"	""	"text"
"Type a version"	""	"text"
"Typewriter"	""	"text"
"Unable to Create Path"	""	"text"
"Unable to process Startup Options|When more than one instance of ToDoList is running you must specify a tasklist path as well."	""	"text"
"Under Development"	""	"label"
"Underline"	""	"menu"
  "Underline"	""	"tooltip"
"Unflagged"	""	"text"
"untitled"	""	"text"
"Unzipping update..."	""	"text"
"Up One Level"	""	"tooltip"
"Update preferences defaults"	""	"checkbox"
"Updating %s..."	""	"text"
"Updating language file..."	""	"text"
"Upload Progress"	""	"dialog"
"Upload Progress (%d%%)"	""	"dialog"
"Uploading '%s' to '%s'"	""	"text"
"Use 'Time Estimate' in preference to 'Duration' when calculating allocations"	""	"checkbox"
"Use Microsoft Word for content format conversions"	""	"checkbox"
"Use no colour"	""	"radiobutton"
"Use the following fixed columns only"	""	"radiobutton"
"User Date"	""	"menu"
"User Defined Tool %d"	""	"menu"
"User ID"	""	"text"
"User Interface>Column/Attribute Visibility"	""	"text"
"User Interface>Custom Toolbar"	""	"text"
"User Interface>General>Main Toolbar"	""	"text"
"User Interface>General>Tab bar"	""	"text"
"User Interface>General>Task View Visibility"	""	"text"
"User Variables"	""	"menu"
"Version Frequency"	""	"combobox"
"Vertical alignment"	""	"label"
"Very High"	""	"text"
"Very Low"	""	"text"
"View Menu"	""	"tooltip"
"View Task Log File"	""	"menu"
"Visible Date Range (%s)"	""	"label"
"W"	""	"menu"
"Warning"	""	"menu"
"Web Page (*.htm, *.html)|*.htm;*.html|Text File (*.txt)|*.txt|All Files (*.*)|*.*||"	""	"text"
"Web Page (.html)|Web Pages (*.html, *.htm)|*.html;*.htm||"	""	"text"
"Week Planner"	""	"systabcontrol32"
"Week Planner Preferences"	""	"dialog"
"weekdays"	""	"label"
"weeks"	""	"label"
"weeks after previous task is completed"	""	"label"
"weeks on"	""	"label"
"Weeks, narrow"	""	"combobox"
"Weeks, wide"	""	"combobox"
"Welcome to ToDoList"	""	"text"
"What's New"	""	"label"
"When"	""	"label"
"When time-tracking, remind me every"	""	"checkbox"
"Width in pixels"	""	"checkbox"
"Window %d"	""	"menu"
"Word Cloud"	""	"systabcontrol32"
"Word Wrap"	""	"menu"
"Working Day"	""	"groupbox"
"Working Week"	""	"groupbox"
"Workload"	""	"systabcontrol32"
"Workload Preferences"	""	"dialog"
"Would you like to reload it?"	""	"text"
"Would you like to save your changes before checking in?"	""	"text"
"Wrap text"	""	"checkbox"
"XML (.xml)"	""	"combobox"
"XML (.xml)|XML Files (*.xml)|*.xml||"	""	"text"
"Y"	""	"menu"
"years"	""	"label"
"Years \t\t\t\t(eg. 2013)"	""	"combobox"
"years after previous task is completed"	""	"label"
"Yes, hide attributes and menu items for hidden columns"	""	"radiobutton"
"Yes, I want to be able to share some of my tasklists"	""	"radiobutton"
"Yes, please"	""	"radiobutton"
"You must include 'Title' in your column mapping."	""	"text"
"You will need to restart ToDoList to see the change to the window fading"	""	"text"
"Your preferences have been successfully imported into the registry.\n\nDo you want to start using these settings immediately?"	""	"text"
"Your registry settings have been successfully exported.\n\nDo you want to start using these preferences immediately?"	""	"text"
"{0} (Custom)"	""	"menu"
"{0} minutes"	""	"text"
TRANSLATED
"% Complete"	"진행률(%)"	"label"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"지금까지 %0.1f Kb 다운로드됨 (%0.1f Kb 남음)"	"text"
"%d / %d tasks"	"%d / %d 작업"	"text"
"'Started' task colour"	"'시작된' 태스크 색상"	"checkbox"
"'Today' colour"	"'오늘' 색상"	"checkbox"
"'Weekend' colour"	"주말 색상"	"checkbox"
"(Relative)"	"상대적)"	"text"
"(untitled)"	"제목없음)"	"text"
"- unnamed -"	"- 이름없음 -"	"text"
"...maps to Column Name in File"	"파일 열 이름"	"sysheader32"
"0 (Lowest)"	"0(가장 낮음)"	"combobox"
  "0 (Lowest)"	""	"menu"
"0 minutes"	"0 분"	"combobox"
"1 (Low)"	"1(매우 낮음)"	"combobox"
  "1 (Low)"	""	"menu"
"1 (Very Low)"	"1(매우 낮음)"	"combobox"
  "1 (Very Low)"	""	"menu"
"1 minute"	"1분"	"combobox"
"1 space"	"1스페이스"	"combobox"
"1 task selected (%d)"	"%d 개 태스크 중 1개 선택됨"	"text"
"1 Week"	"1 주"	"combobox"
"1. Where do you want ToDoList to store your program settings ?"	"1. 프로그램 설정 저장 위치"	"label"
"2 (Low)"	"2(낮음)"	"combobox"
  "2 (Low)"	"2(낮음)"	"menu"
"2 days"	"2 일"	"combobox"
"2 hours"	"2시간"	"combobox"
"2 minutes"	"2분"	"combobox"
"2 spaces"	"2스페이스"	"combobox"
"2 weeks"	"2 주간"	"combobox"
"2 Weeks"	"2 주"	"combobox"
"2. Do you want to be able to share your tasklists on a network ?"	"태스크 리스트를 네트워크 상에서 공유 가능하도록 하시겠습니까?"	"label"
"3 (Low)"	"3(약간 낮음)"	"combobox"
  "3 (Low)"	""	"menu"
"3 (Low-Med)"	"3(약간 낮음)"	"combobox"
  "3 (Low-Med)"	""	"menu"
"3 days"	"3 일"	"combobox"
"3 hours"	"3시간"	"combobox"
"3 Weeks"	"3 주"	"combobox"
"3 weeks"	"3 주간"	"combobox"
"3. Which columns do you initially want to see ?\n\nNote: You can modify this choice later using  'View > Select Columns'"	"3. 어떤 열을 처음으로 보고 싶은 가요?\n\n[보기]→[열 선택 ] 메뉴로 다시 바꿀 수 있습니다)"	"label"
"4 (Medium)"	"4 (중간)"	"combobox"
  "4 (Medium)"	""	"menu"
"4 days"	"4 일"	"combobox"
"4 hours"	"4시간"	"combobox"
"4 spaces"	"4스페이스"	"combobox"
"4 Weeks"	"4 주"	"combobox"
"4 weeks"	"4 주간"	"combobox"
"4. Do you want to keep the user interface as simple as possible ?"	"4. 로 きるだけシンプ룰な사용자 인터페이스에 된 い로 すか?"	"label"
"5 (Medium)"	"5 (중간)"	"combobox"
  "5 (Medium)"	""	"menu"
"5 days"	"5 일"	"combobox"
"5 hours"	"5시간"	"combobox"
"5 minutes"	"5분"	"combobox"
"5 pt"	"5 pt"	"combobox"
"5 Weeks"	"5 주"	"combobox"
"5. Do you want to view a sample tasklist to help you get started ?"	"5. 샘플 태스크 리스트 보기하시겠습니까?"	"label"
"6 (Medium)"	"6 (중간)"	"combobox"
  "6 (Medium)"	""	"menu"
"6 days"	"6 일"	"combobox"
"6 hours"	"6시간"	"combobox"
"6 pt"	"6 pt"	"combobox"
"6 Weeks"	"6 주"	"combobox"
"7 (High)"	"7(약간 높음)"	"combobox"
  "7 (High)"	""	"menu"
"7 (Med-High)"	"7(약간 높음)"	"combobox"
  "7 (Med-High)"	""	"menu"
"7 days / 1 week"	"7 일/1 주간"	"combobox"
"7 pt"	"7 pt"	"combobox"
"7 Weeks"	"7 주"	"combobox"
"8 (High)"	"8 (높음)"	"combobox"
  "8 (High)"	""	"menu"
"8 pt"	"8 pt"	"combobox"
"8 spaces"	"8 스페이스"	"combobox"
"8 Weeks"	"8 주"	"combobox"
"9 (High)"	"9 (매우 높음)"	"combobox"
  "9 (High)"	""	"menu"
"9 (Very High)"	"9 (매우 높음)"	"combobox"
  "9 (Very High)"	""	"menu"
"9 pt"	"9 pt"	"combobox"
"9 Weeks"	"9 주"	"combobox"
"10 (Highest)"	"10(최고)"	"combobox"
  "10 (Highest)"	"10(최고)"	"menu"
"10 minutes"	"10분"	"combobox"
"10 pt"	"10 pt"	"combobox"
"10 seconds"	"10초"	"combobox"
"11 pt"	"11 pt"	"combobox"
"12 hours"	"12시간"	"combobox"
"12 pt"	"12 pt"	"combobox"
"14 pt"	"14 pt"	"combobox"
"15 minutes"	"15분"	"combobox"
"16 pt"	"16 pt"	"combobox"
"18 pt"	"18 pt"	"combobox"
"20 minutes"	"20분"	"combobox"
"20 pt"	"20pt"	"combobox"
"20 seconds"	"20초"	"combobox"
"24 hours / 1 day"	"24시간/1 일"	"combobox"
"30 minutes"	"3분"	"combobox"
"30 seconds"	"30초"	"combobox"
"45 minutes"	"45분"	"combobox"
"60 minutes"	"60분"	"combobox"
"60 minutes / 1 hour"	"60 분/1시간"	"combobox"
"60 seconds"	"60초"	"combobox"
"120 seconds"	"120초"	"combobox"
"<any date>"	"<전체 날짜>"	"text"
"<any>"	"<전체>"	"combobox"
"<anyone>"	"<모두>"	"text"
"<New Rule>"	"<새 룰>"	"text"
"<no date>"	"<항상>"	"text"
"<nobody>"	"<사람 없음>"	"text"
"<none>"	"<없음>"	"combobox"
  "<none>"	"<없음>"	"menu"
"<specific date>"	"지정 날짜"	"text"
"A simple and effective way to keep on top of your daily tasks"	"일? 태스크 明確에 シンプ룰로 ?果的な방법"	"label"
"About"	"ToDoList 정보"	"dialog"
"About ToDoList"	"ToDoList 정보"	"menu"
"About..."	"ToDoList 정보..."	"menu"
"Above Priority"	"최소 우선순위"	"label"
"Above Risk"	"최소 위험도"	"label"
"Above selected task"	"선택된 중 태스크 위에"	"combobox"
"Above Task"	"태스크 前"	"menu"
"Active Dictionary"	"현재 사전"	"label"
"Active Keyboard Shortcuts"	"활성화된 키보드 단축키"	"dialog"
"Active Tasklist"	"현재 태스크 리스트"	"menu"
"Active tasklist"	"현재 태스크 리스트"	"radiobutton"
"Add Rule"	"정책 추가"	"tooltip"
"Add Task Dependency"	"태스크 의존성 추가"	"menu"
"Add Task File Link..."	"태스크 파일링크 설정..."	"menu"
"Add Time to Task Log File"	"태스크 로그파일에 시간 추가"	"menu"
"After Loading a Tasklist"	"태스크 리스트  로딩 후"	"label"
"Aggregate cost for the selected tasks"	"선택된 태스크 비용 합계"	"text"
"Aggregate time estimate for the selected tasks"	"선택된 태스크 예상시간 합계"	"text"
"Aggregate time spent on the selected tasks"	"선택된 태스크 소비시간 합계"	"text"
"Alignment"	"Alignment"	"label"
"All"	"전체"	"combobox"
"All attributes"	"전체 속성"	"radiobutton"
"All open tasklists"	"열린 전체 태스크 리스트"	"combobox"
"All Tasks"	"전체 태스크"	"menu"
"All tasks"	"전체 태스크"	"radiobutton"
"Alloc By"	"할당자"	"sysheader32"
"Alloc To"	"피할당자"	"sysheader32"
"Allocated by"	"할당자"	"label"
"Allocated By"	"할당자"	"menu"
  "Allocated By"	"할당자"	"label"
"Allocated to"	"피할당자"	"label"
"Allocated To"	"피할당자"	"menu"
  "Allocated To"	"피할당자"	"label"
"Allow multi selection in the filter droplists"	"필터 드랍리스트에 다중선택 허용"	"checkbox"
"Allow multiple instances of ToDoList"	"ToDoList 다중 인스턴스 허용"	"checkbox"
"Allow time-tracking on parent tasks"	"부모 태스크에 시간 추적 허용"	"checkbox"
"Also add time to task's time spent"	"태스크 소비시간에 시간 더하기"	"checkbox"
"Alternate line colour"	"대체 행 색상"	"checkbox"
"Always export task ID and Parent task ID"	"항상 태스크ID와 부모 태스크ID 내보내기"	"checkbox"
"Always hide parent tasks in List View"	"리스트뷰의 부모 태스크 감추기"	"checkbox"
"Always on Top"	"항상 맨위로 고정"	"tooltip"
"Always show ToDoList when it starts up"	"시스템 시작시에 ToDoList  보기"	"checkbox"
"Always sort completed tasks below other tasks"	"항상 완료된 태스크를 다른 태스크 아래에 정렬"	"checkbox"
